9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
x	y	z	Study	Contrast	N	FixedRandom	CoordSys	Name
4.0	4.0	46.0	g004	1	20	random	MNI	pain
8.0	-22.0	8.0	g004	1	20	random	MNI	pain
-36.0	-20.0	12.0	g004	1	20	random	MNI	pain
10.0	-12.0	8.0	g004	1	20	random	MNI	pain
-8.0	-20.0	10.0	g004	1	20	random	MNI	pain
-6.0	-48.0	54.0	g004	1	20	random	MNI	pain
-24.0	-30.0	22.0	l001	2	20	random	MNI	pain:_deactivations
0.0	6.0	44.0	l001	1	20	random	MNI	pain
-52.0	8.0	-30.0	l001	2	20	random	MNI	pain:_deactivations
-22.0	-46.0	22.0	l001	2	20	random	MNI	pain:_deactivations
-50.0	12.0	-38.0	l001	2	20	random	MNI	pain:_deactivations
60.0	6.0	-38.0	l001	2	20	random	MNI	pain:_deactivations
-48.0	-66.0	34.0	l001	2	20	random	MNI	pain:_deactivations
22.0	-86.0	14.0	l001	2	20	random	MNI	pain:_deactivations
62.0	-14.0	-24.0	l001	2	20	random	MNI	pain:_deactivations
20.0	-10.0	-30.0	l001	2	20	random	MNI	pain:_deactivations
-56.0	-8.0	28.0	l001	2	20	random	MNI	pain:_deactivations
-4.0	-52.0	74.0	l001	2	20	random	MNI	pain:_deactivations
-6.0	34.0	-12.0	l001	2	20	random	MNI	pain:_deactivations
8.0	-36.0	74.0	l001	2	20	random	MNI	pain:_deactivations
60.0	-8.0	-30.0	l001	2	20	random	MNI	pain:_deactivations
-46.0	-16.0	32.0	l001	2	20	random	MNI	pain:_deactivations
40.0	10.0	-10.0	l001	1	20	random	MNI	pain
-20.0	-14.0	-28.0	l001	2	20	random	MNI	pain:_deactivations
-18.0	-36.0	-24.0	l001	2	20	random	MNI	pain:_deactivations
66.0	-4.0	-22.0	l001	2	20	random	MNI	pain:_deactivations
-62.0	-22.0	18.0	l001	1	20	random	MNI	pain
-24.0	-30.0	-30.0	l001	2	20	random	MNI	pain:_deactivations
-46.0	-6.0	6.0	l001	1	20	random	MNI	pain
38.0	-8.0	-6.0	l001	1	20	random	MNI	pain
-52.0	-10.0	26.0	l001	2	20	random	MNI	pain:_deactivations
4.0	-30.0	76.0	l001	2	20	random	MNI	pain:_deactivations
-22.0	-8.0	-28.0	l001	2	20	random	MNI	pain:_deactivations
2.0	-100.0	4.0	l001	2	20	random	MNI	pain:_deactivations
4.0	-34.0	72.0	l001	2	20	random	MNI	pain:_deactivations
-22.0	-32.0	-26.0	l001	2	20	random	MNI	pain:_deactivations
-46.0	-74.0	32.0	l001	2	20	random	MNI	pain:_deactivations
-42.0	24.0	-34.0	l001	2	20	random	MNI	pain:_deactivations
-22.0	-16.0	38.0	l001	2	20	random	MNI	pain:_deactivations
26.0	-34.0	-26.0	l001	2	20	random	MNI	pain:_deactivations
-48.0	-68.0	38.0	l001	2	20	random	MNI	pain:_deactivations
24.0	-44.0	22.0	l001	2	20	random	MNI	pain:_deactivations
-18.0	-10.0	-28.0	l001	2	20	random	MNI	pain:_deactivations
-6.0	22.0	-22.0	l001	2	20	random	MNI	pain:_deactivations
-56.0	-24.0	-18.0	l001	2	20	random	MNI	pain:_deactivations
-66.0	-6.0	-30.0	l001	2	20	random	MNI	pain:_deactivations
-46.0	4.0	28.0	l001	1	20	random	MNI	pain
60.0	-4.0	18.0	l001	2	20	random	MNI	pain:_deactivations
-60.0	-22.0	-18.0	l001	2	20	random	MNI	pain:_deactivations
62.0	0.0	-28.0	l001	2	20	random	MNI	pain:_deactivations
62.0	-4.0	-30.0	l001	2	20	random	MNI	pain:_deactivations
-46.0	32.0	-22.0	l002	2	20	random	MNI	pain:_deactivations
-48.0	-68.0	32.0	l002	2	20	random	MNI	pain:_deactivations
28.0	-66.0	62.0	l002	2	20	random	MNI	pain:_deactivations
24.0	-42.0	-24.0	l002	2	20	random	MNI	pain:_deactivations
34.0	-52.0	-42.0	l002	1	20	random	MNI	pain
-26.0	-10.0	-32.0	l002	2	20	random	MNI	pain:_deactivations
-60.0	-62.0	4.0	l002	1	20	random	MNI	pain
48.0	-12.0	34.0	l002	2	20	random	MNI	pain:_deactivations
20.0	-10.0	38.0	l002	2	20	random	MNI	pain:_deactivations
-56.0	12.0	-30.0	l002	2	20	random	MNI	pain:_deactivations
66.0	-20.0	-24.0	l002	2	20	random	MNI	pain:_deactivations
50.0	-8.0	22.0	l002	2	20	random	MNI	pain:_deactivations
-40.0	38.0	-24.0	l002	2	20	random	MNI	pain:_deactivations
6.0	-58.0	50.0	l002	1	20	random	MNI	pain
64.0	-12.0	-6.0	l002	2	20	random	MNI	pain:_deactivations
-66.0	-22.0	-22.0	l002	2	20	random	MNI	pain:_deactivations
-64.0	-8.0	-22.0	l002	2	20	random	MNI	pain:_deactivations
26.0	38.0	44.0	l002	2	20	random	MNI	pain:_deactivations
-62.0	-60.0	-2.0	l002	1	20	random	MNI	pain
32.0	22.0	-2.0	l002	1	20	random	MNI	pain
34.0	18.0	-12.0	l002	1	20	random	MNI	pain
26.0	-4.0	26.0	l002	2	20	random	MNI	pain:_deactivations
-28.0	-38.0	-18.0	l002	2	20	random	MNI	pain:_deactivations
-44.0	-60.0	20.0	l002	2	20	random	MNI	pain:_deactivations
26.0	6.0	32.0	l002	2	20	random	MNI	pain:_deactivations
40.0	-32.0	46.0	l002	2	20	random	MNI	pain:_deactivations
40.0	-26.0	42.0	l002	2	20	random	MNI	pain:_deactivations
-50.0	-14.0	38.0	l002	2	20	random	MNI	pain:_deactivations
6.0	-68.0	62.0	l002	2	20	random	MNI	pain:_deactivations
26.0	32.0	8.0	l002	2	20	random	MNI	pain:_deactivations
28.0	-48.0	-58.0	l002	1	20	random	MNI	pain
-54.0	-48.0	8.0	l002	1	20	random	MNI	pain
-42.0	-60.0	52.0	l002	2	20	random	MNI	pain:_deactivations
34.0	24.0	50.0	l002	2	20	random	MNI	pain:_deactivations
-46.0	-56.0	4.0	l002	1	20	random	MNI	pain
-68.0	-18.0	-24.0	l002	2	20	random	MNI	pain:_deactivations
58.0	-8.0	32.0	l002	2	20	random	MNI	pain:_deactivations
-6.0	30.0	-22.0	l002	2	20	random	MNI	pain:_deactivations
40.0	24.0	-2.0	l002	1	20	random	MNI	pain
